date,league,home_team,away_team,odds_over,kickoff_local,result,total_goals,checked_at
2026-09-15,England: EFL Trophy,Chesterfield,Manchester City U21,1.46,21:00,over,8,2026-09-16
2026-09-15,England: Premier League Cup,Bromley U21,Ipswich U21,1.29,21:00,over,6,2026-09-16
2026-09-15,England: Premier League Cup,Gillingham FC U21,Birmingham U21,1.29,21:00,over,4,2026-09-16
2026-09-15,England: Professional Development League,Coventry U21,Barnsley U21,1.3,15:00,over,8,2026-09-16
2026-09-15,England: Professional Development League,Wigan U21,Colchester U21,,16:00,over,10,2026-09-16
2026-09-15,Europe: Premier League International Cup,Aston Villa U21,Real Sociedad B,1.54,21:00,over,6,2026-09-16
2026-09-16,EUROPE: PREMIER LEAGUE INTERNATIONAL CUP,Brighton U21,PSG U21,1.42,21:30,over,3,2026-09-17
2026-09-16,ITALY: SERIE D - GROUP E,Seravezza Pozzi,Montevarchi,2.07,16:00,under,2,2026-09-17
2026-09-16,ITALY: SERIE D - GROUP E,Lucchese,SCD Progresso,2.0,17:00,over,5,2026-09-17
2026-09-18,BELGIUM: PRO LEAGUE U21,Beveren U21,Francs Borains U21,1.22,21:00,pending,,
2026-09-18,CZECH REPUBLIC: 4. LIGA - GROUP B,Karlovy Vary,Sokolov,1.41,20:00,pending,,
2026-09-18,MALTA: CHALLENGE LEAGUE,Swieqi,Pieta,1.53,21:45,pending,,
2026-09-18,SINGAPORE: PREMIER LEAGUE,FC Jurong,Hougang,1.49,14:30,pending,,
2026-09-18,SPAIN: TERCERA RFEF - GROUP 11,Binissalem,Platges de Calvia,2.45,20:30,pending,,
