tournament_slug,surface
/abidjan-2-challenger/2026/atp-men/,Hard
/abidjan-challenger/2026/atp-men/,Hard
/aix-en-provence-challenger/2026/atp-men/,Clay
/aix-les-bains-itf/2026/wta-women/,Clay
/aldershot-2-itf/2026/wta-women/,Hard
/aldershot-itf/2026/wta-women/,Hard
/alicante-challenger/2026/atp-men/,Clay
/alkmaar-itf/2026/wta-women/,Clay
/amstelveen-itf/2026/wta-women/,Clay
/amstetten-itf/2026/wta-women/,Clay
/andong-itf/2026/wta-women/,Hard
/ankara/2026/wta-women/,Hard
/anning-itf/2026/wta-women/,Clay
/antalya-5-wta/2026/wta-women/,Clay
/aschaffenburg-itf/2026/wta-women/,Clay
/astana-10-itf/2026/wta-women/,Hard
/astana-14-itf/2026/wta-women/,Hard
/astana-15-itf/2026/wta-women/,Hard
/astana-4-challenger/2026/atp-men/,Hard
/astana-7-itf/2026/wta-women/,Hard
/astana-8-itf/2026/wta-women/,Hard
/asuncion-2-challenger/2026/atp-men/,Clay
/asuncion-itf/2026/wta-women/,Clay
/athens-wta/2026/wta-women/,Hard
/augsburg-challenger/2026/atp-men/,Clay
/austrian-bundesliga/2026/atp-men/,Clay
/austrian-bundesliga/2026/wta-women/,Clay
/bad-homburg-wta/2026/wta-women/,Grass
/badalona-itf/2026/wta-women/,Clay
/bangalore-2-challenger/2026/atp-men/,Hard
/bangalore-3-challenger/2026/atp-men/,Hard
/banja-luka-itf/2026/wta-women/,Clay
/baotou-itf/2026/wta-women/,Clay
/barcelona/2026/atp-men/,Clay
/barletta-challenger/2026/atp-men/,Clay
/barranquilla/2026/wta-women/,Hard
/barueri-itf/2026/wta-women/,Hard
/bastad-itf/2026/wta-women/,Clay
/bastad-wta/2026/wta-women/,Clay
/bastad/2026/atp-men/,Clay
/belem-itf/2026/wta-women/,Hard
/belgrade-itf/2026/wta-women/,Clay
/berkeley-itf/2026/wta-women/,Hard
/berlin/2026/wta-women/,Grass
/bethany-beach-itf/2026/wta-women/,Clay
/biella-challenger/2026/atp-men/,Clay
/bielsko-biala-itf/2026/wta-women/,Clay
/billie-jean-king-cup/2026/wta-women/,
/birmingham-challenger/2026/atp-men/,Grass
/birmingham/2026/wta-women/,Grass
/bistrita-itf/2026/wta-women/,Clay
/blois-itf/2026/wta-women/,Clay
/bloomfield-hills-challenger/2026/atp-men/,Hard
/boca-raton-3-itf/2026/wta-women/,Clay
/boca-raton-6-itf/2026/wta-women/,Clay
/boca-raton-itf/2026/wta-women/,Clay
/bogota-5-challenger/2026/atp-men/,Clay
/bogota-wta/2026/wta-women/,Clay
/bol-2-itf/2026/wta-women/,Clay
/bol-3-itf/2026/wta-women/,Clay
/bolszewo-itf/2026/wta-women/,Clay
/bonita-2-springs-itf/2026/wta-women/,Clay
/bonita-springs-itf/2026/wta-women/,Clay
/bonn-challenger/2026/atp-men/,Clay
/boodles-tennis-challenge/2026/atp-men/,Grass
/boodles-tennis-challenge/2026/wta-women/,Grass
/bordeaux-challenger/2026/atp-men/,Clay
/brasilia-itf/2026/wta-women/,Hard
/brasov-2-itf/2026/wta-women/,Clay
/brasov-3-itf/2026/wta-women/,Clay
/brasov-challenger/2026/atp-men/,Clay
/bratislava-2-challenger/2026/atp-men/,Clay
/braunschweig-challenger/2026/atp-men/,Clay
/brazzaville-challenger/2026/atp-men/,
/brescia/2026/wta-women/,Clay
/brisbane-6-itf/2026/wta-women/,Hard
/brisbane-7-itf/2026/wta-women/,Hard
/brisbane-8-itf/2026/wta-women/,Hard
/brownsburg-challenger/2026/atp-men/,Hard
/bucaramanga-challenger/2026/atp-men/,Clay
/bucharest-2-itf/2026/wta-women/,Clay
/bucharest-4-itf/2026/wta-women/,Clay
/bucharest-6-itf/2026/wta-women/,Clay
/bucharest/2026/atp-men/,Clay
/buenos-aires-challenger/2026/atp-men/,Clay
/bujumbura-2-itf/2026/wta-women/,Clay
/bujumbura-itf/2026/wta-women/,Clay
/bundesliga-men/2026/atp-men/,Clay
/bundesliga-women/2026/wta-women/,Clay
/bunschoten-challenger/2026/atp-men/,Clay
/busan-challenger/2026/atp-men/,Hard
/buzau-itf/2026/wta-women/,Clay
/bydgoszcz-itf/2026/wta-women/,Clay
/bytom-itf/2026/wta-women/,Clay
/cagliari-challenger/2026/atp-men/,Clay
/caldas-da-rainha/2026/wta-women/,Hard
/calvi-itf/2026/wta-women/,Hard
/campinas-challenger/2026/atp-men/,Clay
/campos-do-jordao-2-itf/2026/wta-women/,Hard
/campos-do-jordao-itf/2026/wta-women/,Hard
/campulung-itf/2026/wta-women/,Clay
/cancun-challenger/2026/atp-men/,Hard
/cap-d-agde-itf/2026/wta-women/,Clay
/cary-challenger/2026/atp-men/,Hard
/cary-itf/2026/wta-women/,Hard
/casablanca-2-itf/2026/wta-women/,Clay
/casablanca-itf/2026/wta-women/,Clay
/caserta-itf/2026/wta-women/,Clay
/cassis-challenger/2026/atp-men/,Hard
/cattolica-challenger/2026/atp-men/,Clay
/centurion-2-challenger/2026/atp-men/,Hard
/centurion-challenger/2026/atp-men/,Hard
/cervia-challenger/2026/atp-men/,Clay
/ceska-lipa-itf/2026/wta-women/,Clay
/ch-sambhaji-nagar-itf/2026/wta-women/,Clay
/chacabuco-itf/2026/wta-women/,Clay
/changwon-2-itf/2026/wta-women/,Hard
