p1_won,surface,rank_p,form_old_p,form_new_p,career_p,career_conf,surface_p,surface_conf,h2h_p,h2h_w,fatigue_pp,model_old,model_new,p1_name,p2_name,date,tour_type,tournament,match_id,market_p
1,Clay,0.4092698519760594,0.625,0.6411616506034509,0.4842035251080811,1.0,0.44815365738297125,1.0,,0.0,0.0,0.5061577923613801,0.4995283866541605,Trevisan Martina,Romero Gormaz Leyre,2026-09-15,wta-single,Valencia WTA,3322945,0.4787234042553191
1,,0.5958085395253951,0.4444444444444444,0.4500461121535771,0.5208333333333334,1.0,0.5208333333333334,1.0,0.6910193338138062,0.2606080000000001,0.0,0.5203621057677243,0.5357200717040669,Hassan Benjamin,Naw Hazem,2026-09-16,atp-single,Davis Cup,3325371,0.7251585623678646
1,,,0.0,0.0,,0.0,,0.0,,0.0,3.0,0.03,0.03,Calixto Nicolas,Maftei Mihnea,2026-09-20,atp-single,UTR Pro Tennis Series 3,3327973,0.6052631578947368
0,Hard,0.403610650604327,0.28,0.26335647402444373,0.16666666666666674,0.525,0.061063690085357836,0.9,,0.0,-0.0,0.30539035667498104,0.2489394640364112,Darmoul Ahmed,Shoaib Muhammad,2026-09-09,atp-single,Futures 2026,3318139,0.0704323570432358
0,Hard,0.4635199795333882,0.7567567567567568,0.8021405950209264,0.5510204081632653,0.95,0.5757575757575758,1.0,,0.0,-0.0,0.5911003810322871,0.6138060501039635,Nagoudi Adam,Chauhan Hitesh,2026-09-15,atp-single,Futures 2026,3324295,0.20277296360485275
1,Clay,0.5066514231710496,0.5714285714285715,0.5412983063603994,0.4982698961937716,1.0,0.48395581273014204,1.0,,0.0,0.0,0.5254499635977976,0.5106351807538637,Stankovic Anja,Taraba Wallberg Nellie,2026-09-15,wta-single,Pazardzhik ITF,3324603,0.3979328165374677
0,Hard,0.46361771896121895,0.47058823529411764,0.3924820710394975,0.34080717488789236,1.0,0.30307645446238174,0.25,,0.0,-0.0,0.42500437638107635,0.4141639571628052,Becerra Otarola Ignacio Antonio,Goncalves Ceolin Joao Vitor,2026-09-16,atp-single,Futures 2026,3324195,0.26694915254237295
1,Clay,0.48101084296936664,0.588235294117647,0.561212690808493,0.5555555555555556,1.0,0.640625,1.0,,0.0,0.0,0.5416005642141898,0.5609495112592865,Weintraub Ben,Michalik Radovan,2026-09-08,atp-single,Futures 2026,3318347,0.596816976127321
1,Clay,0.5087723995396869,0.5844155844155844,0.5862070601483679,0.49726775956284147,1.0,0.4639175257731958,1.0,,0.0,0.0,0.5301519145060376,0.5196323284870835,Mattel Marie,Parcelli Francesca,2026-09-09,wta-single,Dijon 2 ITF,3319659,0.44266666666666665
1,Hard,,0.5333333333333333,0.45996488726872664,0.5238095238095238,0.475,0.5452601568068425,0.65,,0.0,-6.0,0.47026634382566584,0.4335660540564693,Filep Andre,Howard Daniel (2008),2026-09-17,atp-single,UTR Pro Tennis Series,3323127,
1,Hard,,0.0,0.0,0.4782608695652174,0.375,0.6186440677966102,0.35,,0.0,0.0,0.13043478260869568,0.1603892027620841,Thapliyag Varchasva,Haidarian Jonah,2026-09-20,atp-single,Futures 2026,3327664,
0,Hard,,0.5,0.4913672613881088,0.5272727272727273,0.925,0.4890282131661442,1.0,,0.0,-0.0,0.5131050767414405,0.49019773727712646,Majoli Maggioli Taentawan Taddeo,Watane Anuj,2026-09-14,atp-single,Futures 2026,3322843,
0,Hard,0.365636274570567,0.5,0.5405405405405406,0.32499999999999996,1.0,0.1829622458857696,1.0,,0.0,-0.0,0.39687875819018903,0.36304635366562577,Chauhan Hitesh,Shepp Anton,2026-09-08,atp-single,Futures 2026,3317933,0.10028929604628734
1,Hard,0.4347574490296212,0.42857142857142855,0.4430881052730365,0.5222551928783383,1.0,0.5484931052305808,1.0,0.3125,0.15000000000000002,0.0,0.4618613568264627,0.46768687604229797,Bertimon Charles,Hurrion Millen,2026-09-19,atp-single,Futures 2026,3326551,0.1632047477744807
1,Clay,0.5360405189483624,0.27586206896551724,0.23287454530975527,0.4666666666666667,0.675,0.4169688179840464,1.0,,0.0,0.0,0.4212719954818242,0.3952946274140547,Garcia Longo Nicolas,Becerra Otarola Ignacio Antonio,2026-09-08,atp-single,Futures 2026,3318879,0.3448275862068965
0,Clay,0.44256960923772004,0.3835616438356163,0.43199134013655927,0.4711662371134021,1.0,0.385750195324022,1.0,0.32835820895522394,0.5,-0.0,0.4324324967289127,0.4069972140502609,Krumich Martin,Gentzsch Tom,2026-09-16,atp-single,Szczecin challenger,3324793,0.3984575835475579
0,Hard,0.4005346408948197,0.5263157894736843,0.5030693108329338,0.5295735900962861,1.0,0.5546935608999224,1.0,,0.0,-0.0,0.48547467348826334,0.48609917087589194,Aytoyan Maria,Zucchini Arianna,2026-09-21,wta-single,Berkeley ITF,3329256,0.43236074270557034
0,Hard,0.503446611271135,0.125,0.15800765866026079,0.3048128342245989,0.8,0.20908379013312461,1.0,,0.0,3.0,0.3415345995181478,0.32017935335484016,Talic Zaharije-Zak,Dorokhov Ivan,2026-09-09,atp-single,Futures 2026,3319471,0.5
0,Clay,0.4316993166733295,0.5,0.5259155756929177,0.5722670579603815,1.0,0.6358137960521628,0.8,0.33333333333333337,0.125,-6.0,0.44132212487790357,0.45553251141013473,Seleznev Bogdan,Bessonov Dmitry,2026-09-08,atp-single,Futures 2026,3318579,0.20034542314335058
0,Clay,0.3155266322090723,,,,0.0,,0.0,,0.0,-0.0,0.3155266322090723,0.3155266322090723,Gavalda Cruz Laia,Primorac Iva,2026-09-09,wta-single,Reus ITF,3319053,0.07464892830746495
1,Clay,0.46269674023647317,0.5932203389830508,0.5763225926887178,0.4318181818181818,1.0,0.2840094559056688,1.0,,0.0,0.0,0.4959117536792353,0.4410095962769532,Gakhov Ivan,Blanch Dali,2026-09-14,atp-single,Szczecin challenger,3322823,0.3430656934306569
1,Hard,0.6784365496949318,0.6,0.5420351039398358,0.5576923076923077,1.0,0.6600572579790054,1.0,,0.0,0.0,0.6120429524624132,0.6268429705379243,Gasanova Anastasia,Dapkute Iveta,2026-09-10,wta-single,Evora ITF,3320473,0.9148056244830438
0,,0.40470584813630495,0.6,0.5103092609128406,0.5925553319919517,1.0,0.5925553319919517,1.0,,0.0,-0.0,0.5324203933760856,0.5025234803470324,Mejia Nicolas,Griekspoor Tallon,2026-09-18,atp-single,Davis Cup,3326103,0.19402985074626866
0,Clay,0.4663945193416955,0.3414634146341463,0.40616844972305977,0.4285714285714285,1.0,0.42056074766355134,1.0,,0.0,-0.0,0.4121431208490901,0.4310412389094356,Garcia Longo Nicolas,Farjat Tomas,2026-09-20,atp-single,Buenos Aires challenger,3328291,0.3438256658595641
0,Hard,0.40659886998121764,0.4,0.41831543244771063,0.37570621468926557,0.9,0.38293216630196936,1.0,,0.0,3.0,0.42473602179364023,0.43261548957696594,Zylberman Amelia,Simes Ashleigh,2026-09-11,wta-single,UTR Pro Tennis Series,3317769,0.18451400329489287
1,Hard,0.5849399013408425,,,0.5473684210526316,1.0,0.5255052935514919,1.0,,0.0,0.0,0.5661541611967371,0.5552225974461672,Duhan Chirag,Poritskyy Andriy,2026-09-09,atp-single,Futures 2026,3319459,0.8974874371859296
1,Clay,0.5220777820514529,0.5844155844155844,0.6119094926403672,0.6179775280898876,0.975,0.7333333333333334,1.0,,0.0,0.0,0.5744609937326648,0.6224402026750512,Galus Piotr,Mares Vojtech,2026-09-21,atp-single,Futures 2026,3328567,
