date,tournament,player1,player2,recommended_player,opponent,dog_odds,level,games_line,games_odds,est_rate,break_even,expected_value,player_losses,player_share,filter_pass,te_match_id,result,score,checked_at,set_scores,rec_games,games_result
2026-09-23,,Maria Timofeeva,Kajsa Rinaldo Persson,Kajsa Rinaldo Persson,Maria Timofeeva,4.2,Challenger/125,5.5,1.42,0.728,0.704,0.033,14,1.0,True,3330996.0,lost,2:0,2026-09-24,3-6 0-6,3,lost
2026-09-23,,David Petrofsky,Matyas Cerny,David Petrofsky,Matyas Cerny,16.0,ITF,3.5,1.54,0.603,0.649,-0.072,4,1.0,False,3331602.0,lost,2:0,2026-09-26,4-6 4-6,8,won
2026-09-23,,David Petrofsky,Matyas Cerny,David Petrofsky,Matyas Cerny,16.0,ITF,4.5,1.97,0.46,0.508,-0.093,4,1.0,False,3331602.0,lost,2:0,2026-09-26,4-6 4-6,8,won
2026-09-23,,David Petrofsky,Matyas Cerny,David Petrofsky,Matyas Cerny,16.0,ITF,5.5,2.57,0.346,0.389,-0.112,4,1.0,False,3331602.0,lost,2:0,2026-09-26,4-6 4-6,8,won
2026-09-23,,Martin Riu,Aidan McHugh,Martin Riu,Aidan McHugh,12.0,ITF,4.5,1.53,0.46,0.654,-0.296,3,0.667,False,3330158.0,lost,2:0,2026-09-24,0-6 2-6,2,lost
2026-09-23,,Martin Riu,Aidan McHugh,Martin Riu,Aidan McHugh,12.0,ITF,5.5,1.82,0.346,0.549,-0.371,3,0.667,False,3330158.0,lost,2:0,2026-09-24,0-6 2-6,2,lost
2026-09-23,,Inaki Monte De La Torre,Benjamin Thomas George,Benjamin Thomas George,Inaki Monte De La Torre,6.9,ITF,5.5,1.66,0.528,0.602,-0.124,15,0.933,False,3330728.0,pending,,,,,
2026-09-23,,Kuan Shou Chen,Shaoyun Liu,Shaoyun Liu,Kuan Shou Chen,6.9,ITF,5.5,1.6,0.528,0.625,-0.155,16,0.875,False,3331422.0,lost,1:0,2026-09-24,4-6 4-6,8,won
2026-09-23,,Marwan Ehab,Paul Jubb,Marwan Ehab,Paul Jubb,12.0,ITF,3.5,1.4,0.603,0.714,-0.156,5,0.8,False,3331656.0,lost,2:0,2026-09-25,3-6 3-6,6,won
2026-09-23,,Marwan Ehab,Paul Jubb,Marwan Ehab,Paul Jubb,12.0,ITF,4.5,1.72,0.46,0.581,-0.208,5,0.8,False,3331656.0,lost,2:0,2026-09-25,3-6 3-6,6,won
2026-09-23,,Marwan Ehab,Paul Jubb,Marwan Ehab,Paul Jubb,12.0,ITF,5.5,2.17,0.346,0.461,-0.25,5,0.8,False,3331656.0,lost,2:0,2026-09-25,3-6 3-6,6,won
2026-09-23,,Lorenzo Giustino,Enrique Carrascosa Diaz,Enrique Carrascosa Diaz,Lorenzo Giustino,5.35,ITF,5.5,1.54,0.528,0.649,-0.187,6,1.0,False,3330212.0,lost,2:0,2026-09-24,0-6 4-6,4,lost
2026-09-23,,Joao Vitor Goncalves Ceolin,Eric Martins,Eric Martins,Joao Vitor Goncalves Ceolin,8.0,ITF,4.5,1.49,0.46,0.671,-0.314,5,0.8,False,3330692.0,lost,2:0,2026-09-24,1-6 2-6,3,lost
2026-09-23,,Joao Vitor Goncalves Ceolin,Eric Martins,Eric Martins,Joao Vitor Goncalves Ceolin,8.0,ITF,5.5,1.88,0.346,0.532,-0.35,5,0.8,False,3330692.0,lost,2:0,2026-09-24,1-6 2-6,3,lost
2026-09-23,,Nicolas Zanellato,Breno Braga,Breno Braga,Nicolas Zanellato,13.0,ITF,2.5,1.35,0.738,0.741,-0.004,16,0.812,False,3330684.0,lost,2:0,2026-09-24,1-6 2-6,3,won
2026-09-23,,Nicolas Zanellato,Breno Braga,Breno Braga,Nicolas Zanellato,13.0,ITF,3.5,1.68,0.603,0.595,0.013,16,0.812,False,3330684.0,lost,2:0,2026-09-24,1-6 2-6,3,lost
2026-09-23,,Nicolas Zanellato,Breno Braga,Breno Braga,Nicolas Zanellato,13.0,ITF,4.5,2.3,0.46,0.435,0.059,16,0.812,False,3330684.0,lost,2:0,2026-09-24,1-6 2-6,3,lost
2026-09-23,,Victor Hugo Remondy Pagotto,Victor Bini,Victor Bini,Victor Hugo Remondy Pagotto,6.0,ITF,5.5,1.66,0.528,0.602,-0.124,16,0.812,False,3330680.0,won,2:0,2026-09-24,6-2 6-2,12,won
2026-09-23,,Mateus Alves,Manuel Mouilleron Salvo,Manuel Mouilleron Salvo,Mateus Alves,11.0,ITF,4.5,1.42,0.46,0.704,-0.346,20,0.85,False,3330672.0,lost,2:0,2026-09-24,1-6 2-6,3,lost
2026-09-23,,Mateus Alves,Manuel Mouilleron Salvo,Manuel Mouilleron Salvo,Mateus Alves,11.0,ITF,5.5,1.85,0.346,0.541,-0.361,20,0.85,False,3330672.0,lost,2:0,2026-09-24,1-6 2-6,3,lost
2026-09-23,,Dakotah Bobo,Oliver Bonding,Dakotah Bobo,Oliver Bonding,6.1,ITF,5.5,1.3,0.528,0.769,-0.314,13,0.769,False,3330098.0,lost,2:0,2026-09-24,4-6 3-6,7,won
2026-09-23,,Kayla Day,Arina Bulatova,Arina Bulatova,Kayla Day,11.0,ITF,3.5,1.39,0.603,0.719,-0.162,12,0.75,False,3331498.0,lost,2:0,2026-09-24,0-6 1-6,1,lost
2026-09-23,,Kayla Day,Arina Bulatova,Arina Bulatova,Kayla Day,11.0,ITF,4.5,1.67,0.46,0.599,-0.231,12,0.75,False,3331498.0,lost,2:0,2026-09-24,0-6 1-6,1,lost
2026-09-23,,Kayla Day,Arina Bulatova,Arina Bulatova,Kayla Day,11.0,ITF,5.5,2.15,0.346,0.465,-0.257,12,0.75,False,3331498.0,lost,2:0,2026-09-24,0-6 1-6,1,lost
2026-09-23,,Yuka Matsumoto,Nadine Hamrouni,Nadine Hamrouni,Yuka Matsumoto,7.4,ITF,4.5,1.49,0.46,0.671,-0.314,3,1.0,False,3331276.0,lost,2:0,2026-09-24,3-6 0-6,3,lost
2026-09-23,,Yuka Matsumoto,Nadine Hamrouni,Nadine Hamrouni,Yuka Matsumoto,7.4,ITF,5.5,1.8,0.346,0.556,-0.378,3,1.0,False,3331276.0,lost,2:0,2026-09-24,3-6 0-6,3,lost
2026-09-23,,Ava Catanzarite,Isabela de Mattos Silva,Isabela de Mattos Silva,Ava Catanzarite,16.0,ITF,3.5,1.55,0.603,0.645,-0.065,2,1.0,False,3330278.0,lost,2:0,2026-09-24,1-6 0-6,1,lost
2026-09-23,,Ava Catanzarite,Isabela de Mattos Silva,Isabela de Mattos Silva,Ava Catanzarite,16.0,ITF,4.5,1.97,0.46,0.508,-0.093,2,1.0,False,3330278.0,lost,2:0,2026-09-24,1-6 0-6,1,lost
2026-09-23,,Ava Catanzarite,Isabela de Mattos Silva,Isabela de Mattos Silva,Ava Catanzarite,16.0,ITF,5.5,2.6,0.346,0.385,-0.101,2,1.0,False,3330278.0,lost,2:0,2026-09-24,1-6 0-6,1,lost
2026-09-23,,Ritesh Patil,Julian Messina,Julian Messina,Ritesh Patil,9.0,ITF,4.5,1.53,0.46,0.654,-0.296,6,0.833,False,3330500.0,won,2:0,2026-09-25,7-5 6-2,13,won
2026-09-23,,Ritesh Patil,Julian Messina,Julian Messina,Ritesh Patil,9.0,ITF,5.5,1.87,0.346,0.535,-0.354,6,0.833,False,3330500.0,won,2:0,2026-09-25,7-5 6-2,13,won
2026-09-23,,James Quattro,Camille Chantron,Camille Chantron,James Quattro,7.5,ITF,4.5,1.44,0.46,0.694,-0.337,1,1.0,False,3331446.0,lost,2:0,2026-09-25,0-6 2-6,2,lost
2026-09-23,,James Quattro,Camille Chantron,Camille Chantron,James Quattro,7.5,ITF,5.5,1.71,0.346,0.585,-0.409,1,1.0,False,3331446.0,lost,2:0,2026-09-25,0-6 2-6,2,lost
2026-09-23,,T.Czaplinski,Marc van der Merwe,T.Czaplinski,Marc van der Merwe,6.1,ITF,5.5,1.62,0.528,0.617,-0.145,0,,False,3331448.0,lost,2:0,2026-09-24,0-6 2-6,2,lost
2026-09-23,,Wesley Cotton,Bautista Durrels Rojo,Bautista Durrels Rojo,Wesley Cotton,7.2,ITF,4.5,1.42,0.46,0.704,-0.346,5,0.8,False,3330494.0,lost,2:0,2026-09-24,0-6 4-6,4,lost
2026-09-23,,Wesley Cotton,Bautista Durrels Rojo,Bautista Durrels Rojo,Wesley Cotton,7.2,ITF,5.5,1.68,0.346,0.595,-0.419,5,0.8,False,3330494.0,lost,2:0,2026-09-24,0-6 4-6,4,lost
2026-09-23,,Lukas Palovic,Noble Renfrow,Noble Renfrow,Lukas Palovic,5.8,ITF,5.5,1.5,0.528,0.667,-0.208,15,0.8,False,3331440.0,lost,2:0,2026-09-24,0-6 6-7,6,won
2026-09-23,,Kori Montoya,Emily Welker,Kori Montoya,Emily Welker,6.3,ITF,5.5,1.67,0.528,0.599,-0.118,0,,False,3331456.0,lost,2:0,2026-09-24,4-6 6-7,10,won
2026-09-24,,Talia Gibson,Viktoria Morvayova,Viktoria Morvayova,Talia Gibson,7.2,ATP/WTA,4.5,1.37,0.627,0.73,-0.141,18,0.889,False,3330988.0,lost,2:0,2026-09-25,6-7 6-7,12,won
2026-09-24,,Talia Gibson,Viktoria Morvayova,Viktoria Morvayova,Talia Gibson,7.2,ATP/WTA,5.5,1.69,0.483,0.592,-0.184,18,0.889,False,3330988.0,lost,2:0,2026-09-25,6-7 6-7,12,won
2026-09-24,,Tatiana Prozorova,Alexandra Eala,Tatiana Prozorova,Alexandra Eala,4.25,ATP/WTA,5.5,1.37,0.728,0.73,-0.003,8,0.875,True,3330842.0,won,2:1,2026-09-25,4-6 7-5 6-3,17,won
2026-09-24,,Maria Sakkari,Nao Hibino,Nao Hibino,Maria Sakkari,5.0,ATP/WTA,5.5,1.48,0.728,0.676,0.077,15,0.933,True,3331112.0,lost,2:0,2026-09-25,5-7 1-6,6,won
2026-09-24,,Nishesh Basavareddy,Keaton Hance,Keaton Hance,Nishesh Basavareddy,7.9,Challenger/125,4.5,1.39,0.552,0.719,-0.233,7,1.0,False,3331428.0,lost,2:1,2026-09-26,2-6 6-4 3-6,11,won
2026-09-24,,Nishesh Basavareddy,Keaton Hance,Keaton Hance,Nishesh Basavareddy,7.9,Challenger/125,5.5,1.66,0.434,0.602,-0.28,7,1.0,False,3331428.0,lost,2:1,2026-09-26,2-6 6-4 3-6,11,won
2026-09-24,,Jay Clarke,Giuseppe La Vela,Giuseppe La Vela,Jay Clarke,4.8,Challenger/125,5.5,1.33,0.689,0.752,-0.084,19,0.842,False,3331150.0,lost,2:0,2026-09-25,1-6 2-6,3,lost
2026-09-24,,Teodora Kostovic,Elena Ruxandra Bertea,Elena Ruxandra Bertea,Teodora Kostovic,4.2,Challenger/125,5.5,1.41,0.728,0.709,0.026,21,0.857,True,3331122.0,lost,2:0,2026-09-25,3-6 1-6,4,lost
2026-09-24,,Valentina Steiner,Katie Swan,Valentina Steiner,Katie Swan,4.5,Challenger/125,5.5,1.43,0.728,0.699,0.041,17,0.882,True,3331120.0,lost,2:0,2026-09-25,1-6 0-6,1,lost
2026-09-24,,David Petrofsky,Matyas Cerny,David Petrofsky,Matyas Cerny,14.0,ITF,3.5,1.44,0.602,0.694,-0.133,4,1.0,False,3331602.0,lost,2:0,2026-09-26,4-6 4-6,8,won
2026-09-24,,David Petrofsky,Matyas Cerny,David Petrofsky,Matyas Cerny,14.0,ITF,4.5,1.85,0.46,0.541,-0.148,4,1.0,False,3331602.0,lost,2:0,2026-09-26,4-6 4-6,8,won
2026-09-24,,David Petrofsky,Matyas Cerny,David Petrofsky,Matyas Cerny,14.0,ITF,5.5,2.35,0.346,0.426,-0.188,4,1.0,False,3331602.0,lost,2:0,2026-09-26,4-6 4-6,8,won
2026-09-24,,Stepan Baum,Jakub Vrtilka,Jakub Vrtilka,Stepan Baum,7.4,ITF,4.5,1.45,0.46,0.69,-0.332,8,0.75,False,3331712.0,lost,2:1,2026-09-26,2-6 6-4 3-6,11,won
2026-09-24,,Stepan Baum,Jakub Vrtilka,Jakub Vrtilka,Stepan Baum,7.4,ITF,5.5,1.7,0.346,0.588,-0.413,8,0.75,False,3331712.0,lost,2:1,2026-09-26,2-6 6-4 3-6,11,won
2026-09-24,,Claus Piening,Kalin Ivanovski,Claus Piening,Kalin Ivanovski,9.1,ITF,4.5,1.43,0.46,0.699,-0.342,18,0.944,False,3331816.0,won,1:0,2026-09-26,7-5 1-2,8,void
2026-09-24,,Claus Piening,Kalin Ivanovski,Claus Piening,Kalin Ivanovski,9.1,ITF,5.5,1.75,0.346,0.571,-0.395,18,0.944,False,3331816.0,won,1:0,2026-09-26,7-5 1-2,8,void
2026-09-24,,Sebastian Dominko,Marko Bekeni,Marko Bekeni,Sebastian Dominko,6.6,ITF,5.5,1.62,0.527,0.617,-0.146,7,1.0,False,3331818.0,lost,2:0,2026-09-25,1-6 1-6,2,lost
2026-09-24,,Matteo Covato,Stefan Seifert,Matteo Covato,Stefan Seifert,5.45,ITF,5.5,1.5,0.527,0.667,-0.209,19,0.789,False,3331704.0,lost,2:0,2026-09-25,0-6 3-6,3,lost
2026-09-24,,Arthur Nagel,Paul Theate,Paul Theate,Arthur Nagel,11.0,ITF,4.5,1.61,0.46,0.621,-0.259,8,0.875,False,3331700.0,lost,2:0,2026-09-25,2-6 3-6,5,won
2026-09-24,,Arthur Nagel,Paul Theate,Paul Theate,Arthur Nagel,11.0,ITF,5.5,2.07,0.346,0.483,-0.285,8,0.875,False,3331700.0,lost,2:0,2026-09-25,2-6 3-6,5,lost
2026-09-24,,Moritz Hoffmann,Daniel de Jonge,Moritz Hoffmann,Daniel de Jonge,6.2,ITF,5.5,1.48,0.527,0.676,-0.22,2,1.0,False,3331650.0,lost,2:0,2026-09-25,4-6 2-6,6,won
2026-09-24,,D.Nicolae Madaras,Matteo Sabbatini,Matteo Sabbatini,D.Nicolae Madaras,16.0,ITF,3.5,1.52,0.602,0.658,-0.084,1,0.0,False,3331728.0,lost,2:1,2026-09-25,1-6 6-2 2-6,9,won
2026-09-24,,D.Nicolae Madaras,Matteo Sabbatini,Matteo Sabbatini,D.Nicolae Madaras,16.0,ITF,4.5,1.9,0.46,0.526,-0.125,1,0.0,False,3331728.0,lost,2:1,2026-09-25,1-6 6-2 2-6,9,won
2026-09-24,,D.Nicolae Madaras,Matteo Sabbatini,Matteo Sabbatini,D.Nicolae Madaras,16.0,ITF,5.5,2.52,0.346,0.397,-0.129,1,0.0,False,3331728.0,lost,2:1,2026-09-25,1-6 6-2 2-6,9,won
2026-09-24,,Tomas Curras Abasolo,Philip Henning,Tomas Curras Abasolo,Philip Henning,8.5,ITF,4.5,1.49,0.46,0.671,-0.314,16,0.875,False,3331774.0,lost,2:0,2026-09-25,4-6 4-6,8,won
2026-09-24,,Tomas Curras Abasolo,Philip Henning,Tomas Curras Abasolo,Philip Henning,8.5,ITF,5.5,1.82,0.346,0.549,-0.371,16,0.875,False,3331774.0,lost,2:0,2026-09-25,4-6 4-6,8,won
2026-09-24,,Samuel Vincent Ruggeri,Kris Van Wyk,Kris Van Wyk,Samuel Vincent Ruggeri,5.0,ITF,5.5,1.48,0.527,0.676,-0.22,12,0.75,False,3331792.0,lost,2:0,2026-09-25,2-6 2-6,4,lost
2026-09-24,,Marwan Ehab,Paul Jubb,Marwan Ehab,Paul Jubb,11.0,ITF,4.5,1.62,0.46,0.617,-0.254,5,0.8,False,3331656.0,lost,2:0,2026-09-25,3-6 3-6,6,won
2026-09-24,,Marwan Ehab,Paul Jubb,Marwan Ehab,Paul Jubb,11.0,ITF,5.5,2.07,0.346,0.483,-0.285,5,0.8,False,3331656.0,lost,2:0,2026-09-25,3-6 3-6,6,won
2026-09-24,,Branko Djuric,Aristarkh Safonov,Aristarkh Safonov,Branko Djuric,7.1,ITF,4.5,1.4,0.46,0.714,-0.355,7,1.0,False,3331890.0,lost,2:0,2026-09-25,0-6 2-6,2,lost
2026-09-24,,Branko Djuric,Aristarkh Safonov,Aristarkh Safonov,Branko Djuric,7.1,ITF,5.5,1.71,0.346,0.585,-0.409,7,1.0,False,3331890.0,lost,2:0,2026-09-25,0-6 2-6,2,lost
2026-09-24,,Lilian Marmousez,Bruno Pujol Navarro,Bruno Pujol Navarro,Lilian Marmousez,10.0,ITF,3.5,1.38,0.602,0.725,-0.169,3,1.0,False,3331616.0,lost,2:1,2026-09-25,4-6 6-1 2-6,12,won
